prompt,gt_json,predicted_json,error_category,details
Нужен 6 спутники на солнечно-синхронной орбите для покрытия территория кнр.,"{""orbitType"": ""SSO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""6""}","{""coverage"": ""Китай"", ""altitude"": """", ""orbitType"": ""SSO"", ""status"": """", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""6""}",No Error,
Выведи неработающий 1 спутник на средней околоземной орбите для африки.,"{""orbitType"": ""MEO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}","{""coverage"": ""Африка"", ""altitude"": ""с"", ""orbitType"": """", ""status"": ""неактивен"", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",Hallucination,Wrong Value (status: got 'неактивен' exp 'активен'); Missing Slot (orbitType: exp 'MEO'); Hallucination (altitude: 'с')
Подбери неработающий 1 спутник на солнечно-синхронной орбите для африки.,"{""orbitType"": ""SSO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}","{""coverage"": ""Африка"", ""altitude"": """", ""orbitType"": ""SSO"", ""status"": ""неактивен"", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",Wrong Value,Wrong Value (status: got 'неактивен' exp 'активен')
Найди 1 спутник с массой 38 кг и статусом неактивный.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""38"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}","{""coverage"": """", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": """", ""mass"": ""38"", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,
Какой неработающий 1 спутник с форм-фактором кубсат 3u можно использовать для европейский региона нанагеостационарной орбите?,"{""orbitType"": ""GEO"", ""coverage"": ""Европа"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": ""3U"", ""number"": ""1""}",{},Syntax,JSON Syntax Error / Empty
Какой в 1 спутник с форм-фактором 1u можно использовать для территория рф на низкой околоземной орбите?,"{""orbitType"": ""LEO"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": ""1U"", ""number"": ""1""}","{""coverage"": ""Россия"", ""altitude"": ""низ"", ""orbitType"": """", ""status"": """", ""formFactor"": ""1U"", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",Hallucination,Missing Slot (status: exp 'активен'); Missing Slot (orbitType: exp 'LEO'); Hallucination (altitude: 'низ')
Найди 1 спутник с массой 14 кг и статусом вышедший.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""14"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}",{},Syntax,JSON Syntax Error / Empty
Требуется 8 спутники для африканский континента на солнечно-синхронной орбите.,"{""orbitType"": ""SSO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""8""}","{""coverage"": ""Африка"", ""altitude"": """", ""orbitType"": ""SSO"", ""status"": """", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""8""}",No Error,
Предоставь 1 спутник для мониторинга европейский регион с высоты 500-800 км.,"{""orbitType"": """", ""coverage"": ""Европа"", ""altitude"": ""500-800 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""1""}","{""coverage"": ""Европа"", ""altitude"": ""500-800"", ""orbitType"": """", ""status"": """", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",Wrong Value,Wrong Value (altitude: got '500-800' exp '500-800 км')
Предоставь вышедший 1 спутник на геостационарной орбите для европы.,"{""orbitType"": ""GEO"", ""coverage"": ""Европа"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}","{""coverage"": ""Европа"", ""altitude"": ""36000"", ""orbitType"": ""GEO"", ""status"": ""ак"", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",Hallucination,Wrong Value (status: got 'ак' exp 'активен'); Hallucination (altitude: '36000')
Покажи 1 спутник для мониторинга африканский континент с высоты менее 1000 километров.,"{""orbitType"": """", ""coverage"": ""Африка"", ""altitude"": ""<1000 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""1""}","{""coverage"": ""Африка"", ""altitude"": ""1000"", ""orbitType"": """", ""status"": """", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",Wrong Value,Wrong Value (altitude: got '1000' exp '<1000 км')
Подбери 5 спутники с массой 10 кг и статусом неактивные.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""10"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""5""}","{""coverage"": """", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": """", ""mass"": ""10"", ""scale"": """", ""tleDate"": """", ""number"": ""5""}",No Error,
Дай 1 спутник с массой 10 кг и статусом неработающий.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""10"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}","{""coverage"": """", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": """", ""mass"": ""10"", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,
Предложи 2 спутник для мониторинга арктика с высоты <1000 км.,"{""orbitType"": """", ""coverage"": ""Арктика"", ""altitude"": ""<1000 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""2""}","{""coverage"": ""арктика"", ""altitude"": ""1000"", ""orbitType"": """", ""status"": """", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}",Wrong Value,Wrong Value (coverage: got 'арктика' exp 'Арктика'); Wrong Value (altitude: got '1000' exp '<1000 км')
Требуется 3 спутник для китая на высокой эллиптической орбите.,"{""orbitType"": ""HEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""3""}","{""coverage"": ""Китай"", ""altitude"": """", ""orbitType"": ""э"", ""status"": """", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""3""}",Wrong Value,Wrong Value (orbitType: got 'э' exp 'HEO')
"Мне нужен 10 спутники с форм-фактором 12u, массой 29 кг для северный полюса.","{""orbitType"": """", ""coverage"": ""Арктика"", ""altitude"": """", ""mass"": ""29"", ""status"": """", ""formFactor"": ""12U"", ""number"": ""10""}","{""coverage"": """", ""altitude"": """", ""orbitType"": """", ""status"": """", ""formFactor"": ""12U"", ""mass"": ""29"", ""scale"": """", ""tleDate"": """", ""number"": ""10""}",Missing Slot,Missing Slot (coverage: exp 'Арктика')
Существуют ли 7 спутники с массой более 26 кг и статусом в?,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""26"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""7""}","{""coverage"": """", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": """", ""mass"": ""26"", ""scale"": """", ""tleDate"": """", ""number"": ""7""}",No Error,
Покажи 7 спутники с массой 16 кг и статусом вышедшие.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""16"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""7""}",{},Syntax,JSON Syntax Error / Empty
Выведи неработающий 1 спутник на высокой эллиптической орбите для африки.,"{""orbitType"": ""HEO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}",{},Syntax,JSON Syntax Error / Empty
Предложи неактивные 4 спутник на низкой околоземной орбите для территория рф.,"{""orbitType"": ""LEO"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""number"": ""4""}","{""coverage"": ""тер"", ""altitude"": ""низ"", ""orbitType"": """", ""status"": ""неактивен"", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""4""}",Hallucination,Wrong Value (status: got 'неактивен' exp 'активен'); Missing Slot (orbitType: exp 'LEO'); Wrong Value (coverage: got 'тер' exp 'Россия'); Hallucination (altitude: 'низ')
Ищи 5 спутники с массой 38 кг и статусом активные.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""38"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""5""}","{""coverage"": """", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": """", ""mass"": ""38"", ""scale"": """", ""tleDate"": """", ""number"": ""5""}",No Error,
Покажи 3 спутник с массой 37 кг и статусом неработающие.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""37"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""3""}","{""coverage"": """", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": """", ""mass"": ""37"", ""scale"": """", ""tleDate"": """", ""number"": ""3""}",No Error,
Требуется 6 спутники для европы на орбите молния.,"{""orbitType"": ""Molniya"", ""coverage"": ""Европа"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""6""}","{""coverage"": ""Европа"", ""altitude"": """", ""orbitType"": ""Molniya"", ""status"": """", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""6""}",No Error,
Существуют ли 10 спутники с массой более 46 кг и статусом неработающие?,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""46"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""10""}","{""coverage"": """", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": """", ""mass"": ""46"", ""scale"": """", ""tleDate"": """", ""number"": ""10""}",No Error,
Найди 9 спутники с массой 26 кг и статусом неактивные.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""26"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""9""}","{""coverage"": """", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": """", ""mass"": ""26"", ""scale"": """", ""tleDate"": """", ""number"": ""9""}",No Error,
Какой функционирующие 6 спутники с форм-фактором 12u можно использовать для территория рф на солнечно-синхронной орбите?,"{""orbitType"": ""SSO"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": ""12U"", ""number"": ""6""}","{""coverage"": ""Россия"", ""altitude"": """", ""orbitType"": ""SSO"", ""status"": ""активен"", ""formFactor"": ""12U"", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""6""}",No Error,
Предоставь 2 спутник для мониторинга россия с высоты 2000-20000 км.,"{""orbitType"": """", ""coverage"": ""Россия"", ""altitude"": ""2000-20000 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""2""}","{""coverage"": ""Россия"", ""altitude"": ""2000-20000"", ""orbitType"": """", ""status"": """", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}",Wrong Value,Wrong Value (altitude: got '2000-20000' exp '2000-20000 км')
Существуют ли 9 спутники с массой более 16 кг и статусом вышедшие?,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""16"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""9""}",{},Syntax,JSON Syntax Error / Empty
Выведи 2 спутник с массой 27 кг и статусом работающие.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""27"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""2""}",{},Syntax,JSON Syntax Error / Empty
"Мне нужен 2 спутник с форм-фактором кубсат 12u, массой 26 кг для территория рф.","{""orbitType"": """", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": ""26"", ""status"": """", ""formFactor"": ""12U"", ""number"": ""2""}","{""coverage"": ""Россия"", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": ""12U"", ""mass"": ""26"", ""scale"": """", ""tleDate"": """", ""number"": ""2""}",Hallucination,Hallucination (status: 'активен')
"Мне нужен 1 спутник с форм-фактором 12u, массой 27 кг для китайский региона.","{""orbitType"": """", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": ""27"", ""status"": """", ""formFactor"": ""12U"", ""number"": ""1""}","{""coverage"": ""Китай"", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": ""12U"", ""mass"": ""27"", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",Hallucination,Hallucination (status: 'активен')
"Мне нужен 8 спутники с форм-фактором кубсат 1u, массой 2 кг для китая.","{""orbitType"": """", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": ""2"", ""status"": """", ""formFactor"": ""1U"", ""number"": ""8""}","{""coverage"": ""Китай"", ""altitude"": """", ""orbitType"": """", ""status"": """", ""formFactor"": ""1U"", ""mass"": ""2"", ""scale"": """", ""tleDate"": """", ""number"": ""8""}",No Error,
Нужен 2 спутник на средней околоземной орбите для покрытия китай.,"{""orbitType"": ""MEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""2""}","{""coverage"": ""Китай"", ""altitude"": ""с"", ""orbitType"": """", ""status"": """", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}",Hallucination,Missing Slot (orbitType: exp 'MEO'); Hallucination (altitude: 'с')
Покажи 2 спутник на орбите молния с высотой с перигеем ~400 км и апогеем ~40000 км и статусом неактивные.,"{""orbitType"": ""Molniya"", ""coverage"": """", ""altitude"": ""400-40000 км"", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""number"": ""2""}","{""coverage"": """", ""altitude"": ""400"", ""orbitType"": ""Molniya"", ""status"": ""активен"", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}",Wrong Value,Wrong Value (altitude: got '400' exp '400-40000 км')
Выведи 5 спутники для мониторинга европа с высоты ниже 1000 км.,"{""orbitType"": """", ""coverage"": ""Европа"", ""altitude"": ""<1000 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""5""}","{""coverage"": ""Европа"", ""altitude"": ""1000"", ""orbitType"": """", ""status"": """", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""5""}",Wrong Value,Wrong Value (altitude: got '1000' exp '<1000 км')
Какой неактивный 1 спутник с форм-фактором кубсат 3u можно использовать для европы на орбите молния?,"{""orbitType"": ""Molniya"", ""coverage"": ""Европа"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": ""3U"", ""number"": ""1""}","{""coverage"": ""Европа"", ""altitude"": """", ""orbitType"": ""Molniya"", ""status"": ""активен"", ""formFactor"": ""3U"", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,
Дай 1 спутник с массой 34 кг и статусом работающий.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""34"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}",{},Syntax,JSON Syntax Error / Empty
Нужен 8 спутники на орбите молния для покрытия российский регион.,"{""orbitType"": ""Molniya"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""8""}","{""coverage"": ""Россия"", ""altitude"": """", ""orbitType"": ""Molniya"", ""status"": """", ""formFactor"": """", ""mass"": """", ""scale"": """", ""tleDate"": """", ""number"": ""8""}",No Error,
Подскажи 1 спутник с массой 6 кг и статусом в.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""6"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}","{""coverage"": """", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": """", ""mass"": ""6"", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,
